UACE20,GEOID20,GEOIDFQ20,NAME20,NAMELSAD20,urban_mean,STATEFP,GEOID,STUSPS,NAME,rural_mean,urban_inc
56116,56116,400C200US56116,"Memphis, TN--MS--AR","Memphis, TN--MS--AR Urban Area",8.072583267,47,47,TN,Tennessee,6.198586557,1.874
35920,35920,400C200US35920,"Gulfport--Biloxi, MS","Gulfport--Biloxi, MS Urban Area",8.589736099,28,28,MS,Mississippi,7.152878888,1.437
86599,86599,400C200US86599,"Tampa--St. Petersburg, FL","Tampa--St. Petersburg, FL Urban Area",7.668335644,12,12,FL,Florida,6.210653346,1.458
86464,86464,400C200US86464,"Tallahassee, FL","Tallahassee, FL Urban Area",7.75761196,12,12,FL,Florida,6.210653346,1.547
59275,59275,400C200US59275,"Morgantown, WV","Morgantown, WV Urban Area",6.705378707,54,54,WV,West Virginia,5.530576165,1.175
79363,79363,400C200US79363,"Santa Fe, NM","Santa Fe, NM Urban Area",6.221264252,35,35,NM,New Mexico,4.993823431,1.227
7921,7921,400C200US07921,"Bismarck, ND","Bismarck, ND Urban Area",5.091246849,38,38,ND,North Dakota,4.887539591,0.204
68482,68482,400C200US68482,"Pensacola, FL--AL","Pensacola, FL--AL Urban Area",8.147798328,12,12,FL,Florida,6.210653346,1.937
23311,23311,400C200US23311,"Deltona, FL","Deltona, FL Urban Area",7.343710386,12,12,FL,Florida,6.210653346,1.133
65863,65863,400C200US65863,"Orlando, FL","Orlando, FL Urban Area",7.535604822,12,12,FL,Florida,6.210653346,1.325
901,901,400C200US00901,"Albany, GA","Albany, GA Urban Area",7.926983538,13,13,GA,Georgia,6.739591666,1.187
37594,37594,400C200US37594,"Hattiesburg, MS","Hattiesburg, MS Urban Area",7.933331478,28,28,MS,Mississippi,7.152878888,0.78
,,,,,,,,,,,
6868,6868,400C200US06868,"Bend, OR","Bend, OR Urban Area",5.674281418,41,41,OR,Oregon,5.347523912,0.327
79309,79309,400C200US79309,"Santa Clarita, CA","Santa Clarita, CA Urban Area",8.294672807,6,6,CA,California,5.820606312,2.474
66673,66673,400C200US66673,"Oxnard--San Buenaventura (Ventura), CA","Oxnard--San Buenaventura (Ventura), CA Urban Area",8.457375865,6,6,CA,California,5.820606312,2.637
69076,69076,400C200US69076,"Philadelphia, PA--NJ--DE--MD","Philadelphia, PA--NJ--DE--MD Urban Area",7.583992599,42,42,PA,Pennsylvania,5.941080114,1.643
77770,77770,400C200US77770,"St. Louis, MO--IL","St. Louis, MO--IL Urban Area",8.206650109,29,29,MO,Missouri,6.404036629,1.803
66781,66781,400C200US66781,"Paducah, KY--IL","Paducah, KY--IL Urban Area",7.608476342,21,21,KY,Kentucky,6.378271804,1.23
83764,83764,400C200US83764,"Spokane, WA","Spokane, WA Urban Area",6.759391631,53,53,WA,Washington,5.01396412,1.745
33328,33328,400C200US33328,"Gilroy--Morgan Hill, CA","Gilroy--Morgan Hill, CA Urban Area",7.294369268,6,6,CA,California,5.820606312,1.474
3817,3817,400C200US03817,"Atlanta, GA","Atlanta, GA Urban Area",8.145887319,13,13,GA,Georgia,6.739591666,1.406
2629,2629,400C200US02629,"Anniston--Oxford, AL","Anniston--Oxford, AL Urban Area",7.505865964,1,1,AL,Alabama,7.071756628,0.434
88300,88300,400C200US88300,"Traverse City--Garfield, MI","Traverse City--Garfield, MI Urban Area",5.343782624,26,26,MI,Michigan,5.145389178,0.198
4951,4951,400C200US04951,"Bangor, ME","Bangor, ME Urban Area",4.68590368,23,23,ME,Maine,4.088174695,0.598
19099,19099,400C200US19099,"Columbus, GA--AL","Columbus, GA--AL Urban Area",8.206264994,1,1,AL,Alabama,7.071756628,1.135
67105,67105,400C200US67105,"Palm Bay--Melbourne, FL","Palm Bay--Melbourne, FL Urban Area",6.813275469,12,12,FL,Florida,6.210653346,0.603
44506,44506,400C200US44506,"Kenosha, WI","Kenosha, WI Urban Area",7.132111208,55,55,WI,Wisconsin,5.252788515,1.879
72112,72112,400C200US72112,"Prescott--Prescott Valley, AZ","Prescott--Prescott Valley, AZ Urban Area",4.673202119,4,4,AZ,Arizona,5.07234524,-0.399
2764,2764,400C200US02764,"Appleton, WI","Appleton, WI Urban Area",6.672485203,55,55,WI,Wisconsin,5.252788515,1.42
56656,56656,400C200US56656,"Michigan City--La Porte, IN--MI","Michigan City--La Porte, IN--MI Urban Area",7.258946909,18,18,IN,Indiana,7.004757482,0.254
1927,1927,400C200US01927,"Amarillo, TX","Amarillo, TX Urban Area",6.080508492,48,48,TX,Texas,6.463495491,-0.383
16885,16885,400C200US16885,"Cincinnati, OH--KY","Cincinnati, OH--KY Urban Area",8.203490749,39,39,OH,Ohio,6.486223112,1.717
84024,84024,400C200US84024,"Spring Hill, FL","Spring Hill, FL Urban Area",7.365374736,12,12,FL,Florida,6.210653346,1.155
